states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population,,,,,,,,,
AN,Nicobars,,,,,,,,,,,,,,,,,,,62,811,,,,,26-11-2020,,,36842,,,,,25394,20313,0,,,,,,,,,
AN,North and Middle Andaman,,,,,,8,,,,,,,,,,,,,90,1839,,,,,26-11-2020,,,105597,,,,,78945,59522,0,,,,,,,,,
AN,South Andaman,,,,,3,28,,,,,,,,,,,,,732,8012,,,,,26-11-2020,,,238142,,,,,189662,120322,0,,,,,,,,,
AN,Unknown,,,,,,,,9,,,,,,9,3,,5,,,,3,,,,26-11-2020,,,,7651,129,7518,,,,12,,,,,,,,,
AP,Anantapur,4,,5,,4575,5370,4,50,,,,,,50,38,,58,,92803,140903,38,,,,26-11-2020,,,4083315,157843,1093,156699,787085,2690082,1611476,92,,,,,,,,,
AP,Chittoor,64,1,87,,878,1306,64,631,,,,,,631,516,6,629,,63824,119541,516,,,,26-11-2020,,,4170468,246935,1947,244144,780322,2832987,1807873,1211,,,,,,,,,
AP,East Godavari,87,,121,,41,237,87,401,,,,,,401,604,,520,,36973,223236,604,,,,26-11-2020,,,5151549,293836,1290,291610,944746,3532220,1990578,1092,,,,,,,,,
AP,Foreign Evacuees,,,,,,,,,,,,,,,,,,,,,,,,,26-11-2020,,,,434,,434,,,,0,,,,,,,,,
AP,Guntur,33,,198,,1119,1248,33,509,,,,,,509,272,4,619,,285377,156818,272,,,,26-11-2020,,,4889230,178068,1237,176629,833823,3440118,1891773,814,,,,,,,,,
AP,Krishna,46,1,71,,51,337,46,405,,,,,,405,422,9,467,,75352,230788,422,,,,26-11-2020,,,4529009,119348,1430,117130,782232,2971604,1914927,873,,,,,,,,,
AP,Kurnool,6,,3,,4716,1538,6,31,,,,,,31,25,,26,,178620,73119,25,,,,26-11-2020,,,4046601,124142,853,123264,867361,2672759,1290419,62,,,,,,,,,
AP,Other State,,,,,,,,,,,,,,,,,,,,,,,,,26-11-2020,,,,2461,,2461,,,,0,,,,,,,,,
