States,date,population
AN,31-10-2021,397000
AP,31-10-2021,52221000
AR,31-10-2021,1504000
AS,31-10-2021,34293000
BR,31-10-2021,119520000
CH,31-10-2021,1179000
CT,31-10-2021,28724000
DL,31-10-2021,19814000
DN,31-10-2021,959000
GA,31-10-2021,1540000
GJ,31-10-2021,67936000
HP,31-10-2021,7300000
HR,31-10-2021,28672000
JH,31-10-2021,37403000
JK,31-10-2021,13203000
KA,31-10-2021,65798000
KL,31-10-2021,35125000
LA,31-10-2021,293000
LD,31-10-2021,68000
MH,31-10-2021,122153000
ML,31-10-2021,3224000
MN,31-10-2021,3103000
MP,31-10-2021,82232000
MZ,31-10-2021,1192000
NL,31-10-2021,2150000
OR,31-10-2021,43671000
PB,31-10-2021,29859000
PY,31-10-2021,1504000
RJ,31-10-2021,77264000
SK,31-10-2021,664000
TG,31-10-2021,37220000
TN,31-10-2021,75695000
TR,31-10-2021,3992000
TT,31-10-2021,1332900000
UP,31-10-2021,224979000
UT,31-10-2021,11141000
WB,31-10-2021,96906000
