states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
AN,Nicobars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,811,0,0,0,0,11/26/2020,0,0,36842,0,0,0,0,25394,20313,0
AN,North and Middle Andaman,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,90,1839,0,0,0,0,11/26/2020,0,0,105597,0,0,0,0,78945,59522,0
AN,South Andaman,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,732,8012,0,0,0,0,11/26/2020,0,0,238142,0,0,0,0,189662,120322,0
AN,Unknown,0,0,0,0,0,0,0,9,0,0,0,0,0,9,3,0,5,0,0,0,3,0,0,0,11/26/2020,0,0,0,7651,129,7518,0,0,0,12
AP,Anantapur,4,0,5,0,4575,5370,4,50,0,0,0,0,0,50,38,0,58,0,92803,140903,38,0,0,0,11/26/2020,0,0,4083315,157843,1093,156699,787085,2690082,1611476,92
AP,Chittoor,64,1,87,0,878,1306,64,631,0,0,0,0,0,631,516,6,629,0,63824,119541,516,0,0,0,11/26/2020,0,0,4170468,246935,1947,244144,780322,2832987,1807873,1211
AP,East Godavari,87,0,121,0,41,237,87,401,0,0,0,0,0,401,604,0,520,0,36973,223236,604,0,0,0,11/26/2020,0,0,5151549,293836,1290,291610,944746,3532220,1990578,1092
AP,Foreign Evacuees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/26/2020,0,0,0,434,0,434,0,0,0,0
AP,Guntur,33,0,198,0,1119,1248,33,509,0,0,0,0,0,509,272,4,619,0,285377,156818,272,0,0,0,11/26/2020,0,0,4889230,178068,1237,176629,833823,3440118,1891773,814
AP,Krishna,46,1,71,0,51,337,46,405,0,0,0,0,0,405,422,9,467,0,75352,230788,422,0,0,0,11/26/2020,0,0,4529009,119348,1430,117130,782232,2971604,1914927,873
AP,Kurnool,6,0,3,0,4716,1538,6,31,0,0,0,0,0,31,25,0,26,0,178620,73119,25,0,0,0,11/26/2020,0,0,4046601,124142,853,123264,867361,2672759,1290419,62
AP,Prakasam,6,0,37,0,3292,5872,6,243,0,0,0,0,0,243,103,3,290,0,137338,130213,103,0,0,0,11/26/2020,0,0,3392764,138482,1124,136989,697340,2321031,1521177,352
AP,S.P.S. Nellore,34,1,23,0,2724,1639,34,283,0,0,0,0,0,283,155,2,235,0,96973,114393,155,0,0,0,11/26/2020,0,0,2966082,146388,1053,144919,682964,2143402,1403240,472
AP,Srikakulam,19,0,20,0,2,6,19,47,0,0,0,0,0,47,132,0,72,0,18883,129575,132,0,0,0,11/26/2020,0,0,2699471,123109,786,122136,670899,1630248,974734,198
AP,Visakhapatnam,27,0,30,0,1309,2311,27,273,0,0,0,0,0,273,237,1,227,0,65301,207340,237,0,0,0,11/26/2020,0,0,4288113,157737,1127,156492,744983,2999432,1864960,537
AP,Vizianagaram,7,1,11,0,601,1855,7,30,0,0,0,0,0,30,53,1,38,0,44847,123576,53,0,0,0,11/26/2020,0,0,2342868,82967,672,82231,531433,1393491,996097,90
AP,West Godavari,40,0,44,0,878,1884,40,171,0,0,0,0,0,171,234,4,246,0,61021,146562,234,0,0,0,11/26/2020,0,0,3934782,179077,1117,177680,793098,2525317,1778807,445
